GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median value (dollars),Margin of Error; Median value (dollars)
1400000US51003010100,51003010100,"Census Tract 101, Albemarle County, Virginia",296400,44938
1400000US51003010201,51003010201,"Census Tract 102.01, Albemarle County, Virginia",268200,18767
1400000US51003010202,51003010202,"Census Tract 102.02, Albemarle County, Virginia",513600,54810
1400000US51003010300,51003010300,"Census Tract 103, Albemarle County, Virginia",289600,15216
1400000US51003010401,51003010401,"Census Tract 104.01, Albemarle County, Virginia",386200,66183
1400000US51003010402,51003010402,"Census Tract 104.02, Albemarle County, Virginia",563200,41755
1400000US51003010500,51003010500,"Census Tract 105, Albemarle County, Virginia",367700,43193
1400000US51003010601,51003010601,"Census Tract 106.01, Albemarle County, Virginia",322900,24885
1400000US51003010602,51003010602,"Census Tract 106.02, Albemarle County, Virginia",350400,62341
1400000US51003010700,51003010700,"Census Tract 107, Albemarle County, Virginia",171500,20197
1400000US51003010800,51003010800,"Census Tract 108, Albemarle County, Virginia",264900,42641
1400000US51003010901,51003010901,"Census Tract 109.01, Albemarle County, Virginia",282700,13237
1400000US51003010902,51003010902,"Census Tract 109.02, Albemarle County, Virginia",358300,58939
1400000US51003010903,51003010903,"Census Tract 109.03, Albemarle County, Virginia",-,**
1400000US51003011000,51003011000,"Census Tract 110, Albemarle County, Virginia",595900,49877
1400000US51003011100,51003011100,"Census Tract 111, Albemarle County, Virginia",339000,20612
1400000US51003011201,51003011201,"Census Tract 112.01, Albemarle County, Virginia",348600,46564
1400000US51003011202,51003011202,"Census Tract 112.02, Albemarle County, Virginia",373700,25305
1400000US51003011301,51003011301,"Census Tract 113.01, Albemarle County, Virginia",218000,16791
1400000US51003011302,51003011302,"Census Tract 113.02, Albemarle County, Virginia",13300,12811
1400000US51003011303,51003011303,"Census Tract 113.03, Albemarle County, Virginia",261300,16002
1400000US51003011400,51003011400,"Census Tract 114, Albemarle County, Virginia",205100,30625
1400000US51029930101,51029930101,"Census Tract 9301.01, Buckingham County, Virginia",118800,13139
1400000US51029930102,51029930102,"Census Tract 9301.02, Buckingham County, Virginia",112100,18312
1400000US51029930201,51029930201,"Census Tract 9302.01, Buckingham County, Virginia",147900,28717
1400000US51029930202,51029930202,"Census Tract 9302.02, Buckingham County, Virginia",146300,12844
1400000US51065020101,51065020101,"Census Tract 201.01, Fluvanna County, Virginia",275800,24127
1400000US51065020102,51065020102,"Census Tract 201.02, Fluvanna County, Virginia",220200,13496
1400000US51065020200,51065020200,"Census Tract 202, Fluvanna County, Virginia",182800,11379
1400000US51065020300,51065020300,"Census Tract 203, Fluvanna County, Virginia",206300,22959
1400000US51079030101,51079030101,"Census Tract 301.01, Greene County, Virginia",192300,19584
1400000US51079030102,51079030102,"Census Tract 301.02, Greene County, Virginia",229600,22070
1400000US51079030200,51079030200,"Census Tract 302, Greene County, Virginia",257300,12719
1400000US51125950100,51125950100,"Census Tract 9501, Nelson County, Virginia",164200,18291
1400000US51125950200,51125950200,"Census Tract 9502, Nelson County, Virginia",265100,34742
1400000US51125950300,51125950300,"Census Tract 9503, Nelson County, Virginia",206400,36054
1400000US51540000201,51540000201,"Census Tract 2.01, Charlottesville city, Virginia",283800,37054
1400000US51540000202,51540000202,"Census Tract 2.02, Charlottesville city, Virginia",208900,46963
1400000US51540000302,51540000302,"Census Tract 3.02, Charlottesville city, Virginia",283100,28373
1400000US51540000401,51540000401,"Census Tract 4.01, Charlottesville city, Virginia",258600,30876
1400000US51540000402,51540000402,"Census Tract 4.02, Charlottesville city, Virginia",230200,20748
1400000US51540000501,51540000501,"Census Tract 5.01, Charlottesville city, Virginia",184600,15887
1400000US51540000502,51540000502,"Census Tract 5.02, Charlottesville city, Virginia",292800,19750
1400000US51540000600,51540000600,"Census Tract 6, Charlottesville city, Virginia",270000,123113
1400000US51540000700,51540000700,"Census Tract 7, Charlottesville city, Virginia",595700,60360
1400000US51540000800,51540000800,"Census Tract 8, Charlottesville city, Virginia",330500,14578
1400000US51540000900,51540000900,"Census Tract 9, Charlottesville city, Virginia",267200,15552
1400000US51540001000,51540001000,"Census Tract 10, Charlottesville city, Virginia",448900,72289
